"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude,stft_pct,stft_rolling_mean,stft_rolling_std,stft_ema,stft_low_flag,lambda_v,lambda_rolling_mean,lambda_rich_flag,map_mbar,map_rolling_mean,map_rolling_std,rpm,is_idle,rpm_delta,rpm_jerk,module_voltage,voltage_low_flag,voltage_rolling_min,calc_load_pct,calc_load_rolling_mean,rich_idle_score,low_battery_score
,,0.45,1010,,0,21,0,1,1010,12.07,0,0,5,21,19,16,15,0,19,0,0.0,0.0,0.0,0,,,0,1010,1010.0,0.0,0,1,0.0,0.0,12.07,1,12.07,0,0.0,1,2
0.45,0.0,0.45,1010,,0,21,0,1,1010,12.07,0,0,5,21,19,16,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,1010,1010.0,0.0,0,1,0.0,0.0,12.07,1,12.07,0,0.0,1,2
0.45,0.0,0.45,1010,,0,21,0,1,1010,12.07,0,0,5,21,19,16,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,1010,1010.0,0.0,0,1,0.0,0.0,12.07,1,12.07,0,0.0,1,2
0.45,0.0,0.45,1010,,0,21,0,1,1010,11.41,0,0,5,21,21,16,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,1010,1010.0,0.0,0,1,0.0,0.0,11.41,1,11.41,0,0.0,1,2
0.45,0.0,0.45,1010,Malha aberta,73,21,0,1,970,10.28,270,62,5,21,21,16,16,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,970,1002.0,16.0,270,1,270.0,270.0,10.28,1,10.28,73,14.6,1,2
0.45,0.0,0.45,1010,Malha aberta,37,21,0,1,350,11.79,2255,23,5,21,21,16,16,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,350,870.0,260.4611295375953,2255,0,1985.0,1715.0,11.79,1,10.28,37,22.0,0,2
0.45,0.0,0.45,1010,Malha aberta,22,21,0,1,310,11.79,2102,21,5,21,21,16,16,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,310,730.0,327.1696807468565,2102,0,-153.0,-2138.0,11.79,1,10.28,22,26.4,0,2
0.45,0.0,0.45,1010,Malha aberta,22,21,0,1,310,11.79,1960,22,5,21,21,16,16,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,310,590.0,327.1696807468565,1960,0,-142.0,11.0,11.79,1,10.28,22,30.8,0,2
0.45,0.0,0.45,1010,Malha aberta,23,21,0,1,330,11.79,1813,23,5,21,21,16,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,330,454.0,258.4260048834095,1813,0,-147.0,-5.0,11.79,1,10.28,23,35.4,0,2
0.45,0.0,0.45,1010,Malha aberta,25,21,0,1,350,11.88,1632,25,5,21,20,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,350,330.0,17.88854381999832,1632,0,-181.0,-34.0,11.88,1,11.79,25,25.8,0,2
0.44,0.0,0.45,1010,Malha aberta,27,21,0,1,370,11.79,1499,27,5,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.44,0.44800000000000006,0,370,334.0,23.323807579381203,1499,0,-133.0,48.0,11.79,1,11.79,27,23.8,0,2
0.45,0.0,0.45,1010,Malha aberta,29,21,0,1,380,11.79,1413,27,5,20,20,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.44799999999999995,0,380,348.0,25.612496949731394,1413,0,-86.0,47.0,11.79,1,11.79,29,25.2,0,2
0.45,0.0,0.45,1010,Malha aberta,29,21,0,1,380,11.79,1405,27,5,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.44800000000000006,0,380,362.0,19.390719429665317,1405,0,-8.0,78.0,11.79,1,11.79,29,26.6,0,2
0.45,0.0,0.45,1010,Malha aberta,29,21,0,1,380,11.79,1399,27,5,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.44800000000000006,0,380,372.0,11.661903789690601,1399,0,-6.0,2.0,11.79,1,11.79,29,27.8,0,2
0.45,0.0,0.45,1010,Malha aberta,29,21,0,1,370,11.79,1393,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.44800000000000006,0,370,376.0,4.898979485566356,1393,0,-6.0,0.0,11.79,1,11.79,29,28.6,0,2
0.45,0.0,0.45,1010,Malha aberta,28,21,0,1,370,11.79,1390,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,370,376.0,4.898979485566356,1390,0,-3.0,3.0,11.79,1,11.79,28,28.8,0,2
0.45,0.0,0.45,1010,Malha aberta,28,21,0,1,370,11.88,1384,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,370,374.0,4.898979485566356,1384,0,-6.0,-3.0,11.88,1,11.79,28,28.6,0,2
0.45,0.0,0.45,1010,Malha aberta,28,22,0,1,360,12.07,1386,25,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.45,0.45,0,360,370.0,6.324555320336759,1386,0,2.0,8.0,12.07,1,11.79,28,28.4,0,2
0.46,0.0,0.45,1010,Malha aberta,28,22,0,1,370,12.17,1382,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.46,0.45200000000000007,0,370,368.0,4.0,1382,0,-4.0,-6.0,12.17,1,11.79,28,28.2,0,2
0.47,0.0,0.45,1010,Malha aberta,28,22,0,1,370,12.36,1381,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.47,0.45599999999999996,0,370,368.0,4.0,1381,0,-1.0,3.0,12.36,0,11.79,28,28.0,0,1
0.48,0.0,0.45,1010,Malha aberta,28,22,0,1,370,12.45,1380,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.48,0.462,0,370,368.0,4.0,1380,0,-1.0,0.0,12.45,0,11.88,28,28.0,0,1
0.49,0.0,0.45,1010,Malha aberta,29,23,0,1,370,12.55,1375,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.49,0.47000000000000003,0,370,368.0,4.0,1375,0,-5.0,-4.0,12.55,0,12.07,29,28.2,0,1
0.51,0.0,0.45,1010,Malha aberta,29,23,0,1,370,12.64,1388,26,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.51,0.48200000000000004,0,370,370.0,0.0,1388,0,13.0,18.0,12.64,0,12.17,29,28.4,0,1
0.53,0.0,0.45,1010,Malha aberta,29,23,0,1,380,12.64,1379,27,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.53,0.496,0,380,372.0,4.0,1379,0,-9.0,-22.0,12.64,0,12.36,29,28.6,0,0
0.55,0.0,0.45,1010,Malha aberta,29,23,0,1,380,12.73,1378,27,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.55,0.512,0,380,374.0,4.898979485566356,1378,0,-1.0,8.0,12.73,0,12.45,29,28.8,0,0
0.48,0.0,0.45,1010,Malha aberta,30,24,0,1,390,12.83,1387,27,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.48,0.512,0,390,378.0,7.483314773547883,1387,0,9.0,10.0,12.83,0,12.55,30,29.2,0,0
0.43,0.0,0.45,1010,Malha aberta,30,24,0,1,390,12.83,1383,27,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.43,0.5,0,390,382.0,7.483314773547883,1383,0,-4.0,-13.0,12.83,0,12.64,30,29.4,0,0
0.44,0.0,0.45,1010,Malha aberta,29,24,0,1,390,13.02,1386,27,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.44,0.48599999999999993,0,390,386.0,4.898979485566356,1386,0,3.0,7.0,13.02,0,12.64,29,29.4,0,0
0.55,0.0,0.45,1010,Malha aberta,30,24,0,1,390,13.02,1387,27,4,21,21,15,15,0,19,0,0.0,0.0,0.0,0,0.55,0.49000000000000005,0,390,388.0,4.0,1387,0,1.0,-2.0,13.02,0,12.73,30,29.6,0,0
0.65,-2.0,0.45,1010,Malha fechada,30,24,-2,1,390,13.02,1393,27,4,21,21,15,15,0,19,-2,-0.4,0.8,-0.25,0,0.65,0.51,0,390,390.0,0.0,1393,0,6.0,5.0,13.02,0,12.83,30,29.8,0,0
0.64,-4.0,0.45,1010,Malha fechada,30,24,-5,1,390,13.21,1378,27,4,21,21,15,15,0,19,-5,-1.4,1.9595917942265424,-0.84375,0,0.64,0.542,0,390,390.0,0.0,1378,0,-15.0,-21.0,13.21,0,12.83,30,29.8,0,0
0.43,0.0,0.45,1010,Malha fechada,30,24,1,1,390,13.11,1396,27,4,21,21,15,15,0,19,1,-1.2,2.1354156504062622,-0.61328125,0,0.43,0.542,0,390,390.0,0.0,1396,0,18.0,33.0,13.11,0,13.02,30,29.8,0,0
0.66,-2.0,0.45,1010,Malha fechada,29,24,-2,1,380,13.3,1390,27,4,21,21,15,15,0,19,-2,-1.6,2.0591260281974,-0.78662109375,0,0.66,0.5860000000000001,0,380,388.0,4.0,1390,0,-6.0,-24.0,13.3,0,13.02,29,29.8,0,0
0.65,-4.0,0.45,1010,Malha fechada,29,25,-5,1,390,13.3,1381,27,4,21,21,15,15,0,19,-5,-2.6,2.244994432064365,-1.31329345703125,0,0.65,0.6060000000000001,0,390,388.0,4.0,1381,0,-9.0,-3.0,13.3,0,13.02,29,29.6,0,0
0.63,-6.0,0.45,1010,Malha fechada,29,25,-7,1,380,13.3,1390,27,4,21,21,15,15,0,19,-7,-3.6,2.8000000000000003,-2.0241317749023438,0,0.63,0.6020000000000001,0,380,386.0,4.898979485566356,1390,0,9.0,18.0,13.3,0,13.11,29,29.4,0,0
0.46,-3.0,0.45,1010,Malha fechada,29,25,-2,1,380,13.39,1395,27,4,21,21,15,15,0,19,-2,-3.0,2.756809750418044,-2.021115303039551,0,0.46,0.5660000000000001,0,380,384.0,4.898979485566356,1395,0,5.0,-4.0,13.39,0,13.11,29,29.2,0,0
0.66,-2.0,0.45,1010,Malha fechada,29,26,-2,1,380,13.49,1390,27,4,21,21,15,15,0,19,-2,-3.6,2.0591260281974,-2.018475890159607,0,0.66,0.612,0,380,382.0,4.0,1390,0,-5.0,-10.0,13.49,0,13.3,29,29.0,0,0
0.66,-5.0,0.45,1010,Malha fechada,29,26,-5,1,390,13.49,1378,27,4,21,21,15,15,0,19,-5,-4.2,1.9390719429665317,-2.391166403889656,0,0.66,0.6120000000000001,0,390,384.0,4.898979485566356,1378,0,-12.0,-7.0,13.49,0,13.3,29,29.0,0,0
0.61,-7.0,0.45,1010,Malha fechada,29,26,-8,1,380,13.77,1383,27,4,21,21,15,15,0,19,-8,-4.8,2.4819347291981715,-3.092270603403449,1,0.61,0.604,0,380,382.0,4.0,1383,0,5.0,17.0,13.77,0,13.3,29,29.0,1,0
0.64,-3.0,0.45,1010,Malha fechada,29,27,-5,1,380,13.77,1390,27,4,21,21,15,15,0,19,-5,-4.4,2.244994432064365,-3.330736777978018,0,0.64,0.6060000000000001,0,380,382.0,4.0,1390,0,7.0,2.0,13.77,0,13.39,29,29.0,0,0
0.54,-7.0,0.45,1010,Malha fechada,29,27,-3,1,380,13.87,1396,27,4,21,21,15,15,0,19,-3,-4.6,2.0591260281974,-3.2893946807307657,0,0.54,0.6220000000000001,0,380,382.0,4.0,1396,0,6.0,-1.0,13.87,0,13.49,29,29.0,0,0
0.6,-2.0,0.45,1010,Malha fechada,30,27,-2,1,390,13.77,1389,27,4,21,21,15,15,0,19,-2,-4.6,2.0591260281974,-3.12822034563942,0,0.6,0.61,0,390,384.0,4.898979485566356,1389,0,-7.0,-13.0,13.77,0,13.49,30,29.2,0,0
0.65,-5.0,0.45,1010,Malha fechada,28,27,-6,1,360,13.87,1411,25,4,21,21,15,14,0,19,-6,-4.8,2.1354156504062622,-3.4871928024344925,0,0.65,0.608,0,360,378.0,9.797958971132712,1411,0,22.0,29.0,13.87,0,13.77,28,29.0,0,0
0.67,-8.0,0.45,1010,Malha fechada,25,27,-9,1,330,13.87,1406,23,4,21,21,14,14,0,19,-9,-5.0,2.449489742783178,-4.176293702130181,1,0.67,0.62,0,330,368.0,21.354156504062622,1406,0,-5.0,-27.0,13.87,0,13.77,25,28.2,1,0
0.66,-11.0,0.45,1010,Malha fechada,24,27,-11,1,320,13.77,1401,22,4,21,21,14,14,0,19,-11,-6.2,3.4292856398964493,-5.029256989363908,1,0.66,0.624,0,320,356.0,27.27636339397171,1401,0,-5.0,0.0,13.77,0,13.77,24,27.2,1,0
0.65,-11.0,0.45,1010,Malha fechada,23,27,-11,1,310,13.87,1401,21,4,21,21,14,14,0,19,-11,-7.8,3.4292856398964493,-5.77559986569342,1,0.65,0.646,0,310,342.0,29.257477676655586,1401,0,0.0,5.0,13.87,0,13.77,23,26.0,1,0
0.66,-12.0,0.45,1010,Malha fechada,23,28,-12,1,310,13.77,1391,21,4,21,21,14,14,0,19,-12,-9.8,2.1354156504062622,-6.553649882481742,1,0.66,0.658,0,310,326.0,18.547236990991408,1391,0,-10.0,-10.0,13.77,0,13.77,23,24.6,1,0
0.67,-12.0,0.45,1010,Malha fechada,23,28,-12,1,310,13.87,1389,21,4,21,21,14,14,0,19,-12,-11.0,1.0954451150103317,-7.234443647171524,1,0.67,0.662,0,310,316.0,8.0,1389,0,-2.0,8.0,13.87,0,13.77,23,23.6,1,0
0.65,-12.0,0.45,1010,Malha fechada,23,28,-12,1,310,13.77,1380,21,3,21,21,14,14,0,19,-12,-11.6,0.4898979485566342,-7.830138191275084,1,0.65,0.658,0,310,312.0,4.0,1380,0,-9.0,-7.0,13.77,0,13.77,23,23.2,1,0
